cog_id	count_in_one_cluster	count_over_all_clusters
COG1085===Galactose-1-phosphate uridylyltransferase	1	1
COG0156===7-keto-8-aminopelargonate synthetase or related enzyme	1	1
COG0552===Signal recognition particle GTPase	1	1
COG1804===Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases	1	1
COG3552===Uncharacterized conserved protein, contains von Willebrand factor type A (vWA) domain	1	1
COG5278===Extracellular (periplasmic) sensor domain CHASE3 (specificity unknown)	1	1
COG0613===Predicted metal-dependent phosphoesterase TrpH, contains PHP domain	1	1
COG0330===Regulator of protease activity HflC, stomatin/prohibitin superfamily	1	1
COG1960===Acyl-CoA dehydrogenase related to the alkylation response protein AidB	1	1
COG0751===Glycyl-tRNA synthetase, beta subunit	1	1
COG3905===Predicted transcriptional regulator	1	2
COG0653===Preprotein translocase subunit SecA (ATPase, RNA helicase)	1	1
COG5119===Uncharacterized protein, contains ParB-like nuclease domain	1	1
COG1848===Predicted nucleic acid-binding protein, contains PIN domain	1	1
COG0733===Na+-dependent transporter, SNF family	1	1
COG1728===Uncharacterized protein YaaR, TM1646/DUF327 family	1	1
COG0845===Multidrug efflux pump subunit AcrA (membrane-fusion protein)	1	1
COG1875===Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains	1	1
COG2944===DNA-binding transcriptional regulator YiaG, XRE-type HTH domain	1	1
COG3920===Two-component sensor histidine kinase, HisKA and HATPase domains	1	1
COG3654===Prophage maintenance system killer protein	1	1
COG0715===ABC-type nitrate/sulfonate/bicarbonate transport system, periplasmic component	1	1
COG2901===DNA-binding protein Fis (factor for inversion stimulation)	1	1
COG2921===Putative lipoic acid-binding regulatory protein	1	1
COG0290===Translation initiation factor IF-3	1	1
COG1285===Uncharacterized membrane protein YhiD, involved in acid resistance	1	1
COG2227===2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	1	1
COG2336===Antitoxin component of the MazEF toxin-antitoxin module	1	1
COG2872===Ser-tRNA(Ala) deacylase AlaX (editing enzyme)	1	2
COG2378===Predicted DNA-binding transcriptional regulator YafY, contains an HTH and WYL domains	1	1
COG0500===SAM-dependent methyltransferase	1	1
COG1957===Inosine-uridine nucleoside N-ribohydrolase	1	1
COG4842===Uncharacterized conserved protein YukE	1	1
